Starting verification process for upload/live_test.csv
PROGRESS|pass=READ INPUT|current=0|total=1000|percent=0|stage=READ INPUT
PROGRESS|pass=HEAD|current=450|total=990|percent=45|stage=HEAD scan
PROGRESS|pass=HEAD|current=460|total=990|percent=46|stage=HEAD scan
PROGRESS|pass=HEAD|current=470|total=990|percent=47|stage=HEAD scan
PROGRESS|pass=HEAD|current=480|total=990|percent=48|stage=HEAD scan
PROGRESS|pass=HEAD|current=490|total=990|percent=49|stage=HEAD scan
PROGRESS|pass=HEAD|current=500|total=990|percent=50|stage=HEAD scan
PROGRESS|pass=HEAD|current=510|total=990|percent=51|stage=HEAD scan
PROGRESS|pass=HEAD|current=520|total=990|percent=52|stage=HEAD scan
PROGRESS|pass=HEAD|current=530|total=990|percent=53|stage=HEAD scan
PROGRESS|pass=HEAD|current=540|total=990|percent=54|stage=HEAD scan
PROGRESS|pass=HEAD|current=550|total=990|percent=55|stage=HEAD scan
PROGRESS|pass=HEAD|current=560|total=990|percent=56|stage=HEAD scan
PROGRESS|pass=HEAD|current=570|total=990|percent=57|stage=HEAD scan
PROGRESS|pass=HEAD|current=580|total=990|percent=58|stage=HEAD scan
PROGRESS|pass=HEAD|current=590|total=990|percent=59|stage=HEAD scan
PROGRESS|pass=HEAD|current=600|total=990|percent=60|stage=HEAD scan
PROGRESS|pass=HEAD|current=610|total=990|percent=61|stage=HEAD scan
PROGRESS|pass=HEAD|current=620|total=990|percent=62|stage=HEAD scan
PROGRESS|pass=HEAD|current=630|total=990|percent=63|stage=HEAD scan
PROGRESS|pass=HEAD|current=640|total=990|percent=64|stage=HEAD scan
PROGRESS|pass=HEAD|current=650|total=990|percent=65|stage=HEAD scan
PROGRESS|pass=HEAD|current=660|total=990|percent=66|stage=HEAD scan
PROGRESS|pass=HEAD|current=670|total=990|percent=67|stage=HEAD scan
PROGRESS|pass=HEAD|current=680|total=990|percent=68|stage=HEAD scan
PROGRESS|pass=HEAD|current=690|total=990|percent=69|stage=HEAD scan
PROGRESS|pass=HEAD|current=700|total=990|percent=70|stage=HEAD scan
PROGRESS|pass=HEAD|current=710|total=990|percent=71|stage=HEAD scan
PROGRESS|pass=HEAD|current=720|total=990|percent=72|stage=HEAD scan
PROGRESS|pass=HEAD|current=730|total=990|percent=73|stage=HEAD scan
PROGRESS|pass=HEAD|current=740|total=990|percent=74|stage=HEAD scan
PROGRESS|pass=HEAD|current=750|total=990|percent=75|stage=HEAD scan
PROGRESS|pass=HEAD|current=760|total=990|percent=76|stage=HEAD scan
PROGRESS|pass=HEAD|current=770|total=990|percent=77|stage=HEAD scan
PROGRESS|pass=HEAD|current=780|total=990|percent=78|stage=HEAD scan
PROGRESS|pass=HEAD|current=790|total=990|percent=79|stage=HEAD scan
PROGRESS|pass=HEAD|current=800|total=990|percent=80|stage=HEAD scan
PROGRESS|pass=HEAD|current=810|total=990|percent=81|stage=HEAD scan
PROGRESS|pass=HEAD|current=820|total=990|percent=82|stage=HEAD scan
PROGRESS|pass=HEAD|current=830|total=990|percent=83|stage=HEAD scan
PROGRESS|pass=HEAD|current=840|total=990|percent=84|stage=HEAD scan
PROGRESS|pass=HEAD|current=850|total=990|percent=85|stage=HEAD scan
PROGRESS|pass=HEAD|current=860|total=990|percent=86|stage=HEAD scan
PROGRESS|pass=HEAD|current=870|total=990|percent=87|stage=HEAD scan
PROGRESS|pass=HEAD|current=880|total=990|percent=88|stage=HEAD scan
PROGRESS|pass=HEAD|current=890|total=990|percent=89|stage=HEAD scan
PROGRESS|pass=HEAD|current=900|total=990|percent=90|stage=HEAD scan
PROGRESS|pass=HEAD|current=910|total=990|percent=91|stage=HEAD scan
PROGRESS|pass=HEAD|current=920|total=990|percent=92|stage=HEAD scan
PROGRESS|pass=HEAD|current=930|total=990|percent=93|stage=HEAD scan
PROGRESS|pass=HEAD|current=940|total=990|percent=94|stage=HEAD scan
PROGRESS|pass=HEAD|current=950|total=990|percent=95|stage=HEAD scan
PROGRESS|pass=HEAD|current=960|total=990|percent=96|stage=HEAD scan
PROGRESS|pass=HEAD|current=970|total=990|percent=97|stage=HEAD scan
PROGRESS|pass=HEAD|current=980|total=990|percent=98|stage=HEAD scan
PROGRESS|pass=HEAD|current=990|total=990|percent=100|stage=HEAD scan

Verifying... (Pass 2: GET) - 138 domains
PROGRESS|pass=GET|current=5|total=138|percent=3|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=10|total=138|percent=7|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=15|total=138|percent=10|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=20|total=138|percent=14|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=25|total=138|percent=18|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=30|total=138|percent=21|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=35|total=138|percent=25|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=40|total=138|percent=28|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=45|total=138|percent=32|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=50|total=138|percent=36|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=55|total=138|percent=39|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=60|total=138|percent=43|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=65|total=138|percent=47|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=70|total=138|percent=50|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=75|total=138|percent=54|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=80|total=138|percent=57|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=85|total=138|percent=61|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=90|total=138|percent=65|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=95|total=138|percent=68|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=100|total=138|percent=72|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=105|total=138|percent=76|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=110|total=138|percent=79|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=115|total=138|percent=83|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=120|total=138|percent=86|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=125|total=138|percent=90|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=130|total=138|percent=94|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=135|total=138|percent=97|stage=GET scan (run 1/1)
PROGRESS|pass=GET|current=138|total=138|percent=100|stage=GET scan (run 1/1)

--- Verification Complete ---
Total unique websites checked: 990
Reachable websites: 882
Unreachable websites: 108
